,Unnamed: 0,Zip Code,City,Street,Lat,Lon,TruliaEst,Beds,Baths,Sqft,Price_Per_Sqft,YearBuilt,Cluster
0,3,95060,1,110 1st St,36.9649535,-122.0221441,1814401,6,4,4136,122,1925,3
1,11,95060,1,218 1st St,36.9648946,-122.0240981,807861,2,2,1695,201,1982,2
2,13,95060,1,108 2nd St,36.9643746,-122.025075,1295697,4,2,1432,120,1928,5
3,16,95060,1,409 2nd St,36.966842,-122.01645,1143856,4,2,1728,174,1963,0
4,18,95060,1,508 2nd St,36.9673486,-122.0176899,661823,2,2,1238,136,1981,4
5,23,95060,1,515 2nd St,36.9663169,-122.021953,730000,2,2.5,1374,531,1981,4
6,26,95060,1,515 2nd St #1A,36.966606,-122.022364,1337859,4,2.5,2127,141,1908,5
7,27,95060,1,526 2nd St,36.9671348,-122.0232987,1405041,3,3,2316,259,1960,5
8,29,95060,1,526 2nd St #102,36.966873,-122.0231655,870888,3,2,2129,194,1987,2
9,32,95060,1,526 2nd St #201,34.0217788,-118.5037899,862524,3,2.5,1991,394,1984,2
10,39,95060,1,526 2nd St #203,36.9661601,-122.023654,1797490,4,3,3834,339,1892,3
11,46,95060,1,526 2nd St #301,36.9662937,-122.0362653,1064383,3,2,1503,153,1925,0
12,56,95060,1,535 2nd St,36.978641,-122.028094,692472,2,2,1338,153,1980,4
13,57,95060,1,602 2nd St,36.978492,-122.027749,692348,2,2,1338,288,1980,4
14,61,95060,1,604 2nd St,36.9630182,-122.054558,1326607,3,2.5,2496,329,1978,5
15,62,95060,1,610 2nd St,36.9631895,-122.054114,1326733,3,3,2114,101,1992,5
16,64,95060,1,203 3rd St,36.9635952,-122.0546468,950318,3,2,1218,385,1976,2
17,67,95060,1,209 3rd St,36.9638169,-122.0549132,1335874,4,3,2544,263,1976,5
18,69,95060,1,321 3rd St,36.9635457,-122.0553127,946372,3,2,1254,343,1973,2
19,70,95060,1,603 3rd St,36.9636524,-122.0553686,963315,3,2.5,1207,202,1974,2
20,72,95060,1,706 3rd St,36.9637187,-122.0554903,971854,3,2,1502,160,1974,0
21,79,95060,1,710 3rd St,36.9646265,-122.0553571,1303171,4,2,1692,218,1977,5
22,84,95060,1,714 3rd St,36.9662818,-122.0556235,856602,2,2,939,249,1953,2
23,86,95060,1,809 3rd St,36.9664681,-122.0557567,941157,3,2,1098,485,1975,2
24,87,95060,1,811 3rd St,36.9663284,-122.0561896,929563,3,2,1024,201,1971,2
25,88,95060,1,813 3rd St,36.9663772,-122.0562783,878295,3,1.5,1104,216,1972,2
26,97,95060,1,819 3rd St,36.9674459,-122.0566446,989553,3,2,1638,247,1971,0
27,102,95060,1,910 3rd St,36.9737824,-122.0452368,1363380,4,2,2337,394,1940,5
28,105,95060,1,911 3rd St,36.9543436,-122.0422664,1558312,3,2,2008,167,1976,3
29,106,95060,1,912 3rd St,36.9544129,-122.0428508,1496606,5,2,2050,125,1910,5
30,107,95060,1,914 3rd St,36.954773,-122.0428586,1092815,3,2,1183,456,1970,0
31,110,95060,1,918 3rd St,36.9550712,-122.0429105,1087139,3,2,1131,601,1970,0
32,111,95060,1,918 3rd St #B,36.9552088,-122.0429549,1117759,3,2,1301,188,1971,0
33,113,95060,1,918 3rd St #C,36.9568623,-122.0426592,2000717,3,4,3088,196,2007,1
34,114,95060,1,918 3rd St #D,36.9559688,-122.0347112,1385938,3,2,1725,132,1962,5
35,115,95060,1,918 3rd St #F,36.9546511,-122.0407813,1481955,3,3,1785,527,1977,5
36,119,95060,1,918 3rd St #G,36.962191,-122.051099,825451,2,1.5,1169,163,1977,2
37,121,95060,1,919 3rd St,36.964321,-122.0513637,1330158,3,2,2215,212,1983,5
38,122,95060,1,1004 3rd St,36.9638017,-122.0507621,2108324,6,4.5,3247,550,1951,1
39,129,95060,1,1005 3rd St,36.9659551,-122.051317,977461,3,2,1441,254,1952,0
40,133,95060,1,1013 3rd St,36.9660032,-122.0521606,1113164,3,2,1660,183,1967,0
41,135,95060,1,1017 3rd St,36.9652974,-122.0522494,1051119,3,2,1596,329,1965,0
42,136,95060,1,1033 3rd St #5,36.9653391,-122.0527378,1087936,4,2,1566,369,1963,0
43,137,95060,1,1035 3rd St,36.9651371,-122.0527822,1138156,3,2.5,1542,261,1964,0
44,140,95060,1,122 Acadia Ave,36.9649568,-122.0508731,1151131,3,2,2139,356,1965,0
45,142,95060,1,125 Acadia Ave,37.0777433,-122.1398093,928301,3,1.5,1922,388,1969,2
46,144,95060,1,126 Acadia Ave,37.0766661,-122.1396984,1250745,5,3.5,3617,170,1976,5
47,151,95060,1,130 Acadia Ave,36.9505191,-122.0525628,2796756,3,3.5,2776,648,2002,1
48,152,95060,1,132 Acadia Ave,36.9508455,-122.053177,1867762,3,2,2683,328,1974,3
49,156,95060,1,133 Acadia Ave,36.9522791,-122.0529701,1147576,3,2,1382,492,1975,0
50,158,95060,1,139 Acadia Ave,36.9532801,-122.0533149,1348316,4,2,1740,139,1973,5
51,162,95060,1,142 Acadia Ave,36.986247,-122.019213,812471,2,2,1072,508,1947,2
52,170,95060,1,143 Acadia Ave,36.9857901,-122.0172811,883697,3,2,1555,310,1948,2
53,172,95060,1,102 Adobe St,36.985768,-122.0171035,886149,3,2,1559,276,1948,2
54,173,95060,1,106 Adobe St,36.9857958,-122.0169481,831778,3,2,1263,593,1978,2
55,177,95060,1,108 Adobe St,36.9861684,-122.0157711,1055895,3,2,1963,180,1946,0
56,184,95060,1,110 Adobe St,36.9635973,-122.0444796,911512,3,2,1212,243,1957,2
57,188,95060,1,112 Adobe St,36.9637947,-122.0447016,1206754,3,2,2032,144,1995,0
58,190,95060,1,114 Adobe St,36.9639055,-122.0448348,887568,2,2,1289,438,1958,2
59,193,95060,0,116 Adobe St,37.042586,-122.1097897,934385,4,3,1988,385,1977,2
60,195,95060,0,100 Alamo Ave,37.0415406,-122.1119026,1008537,4,2,2239,326,1978,0
61,196,95060,0,101 Alamo Ave,37.0420378,-122.1128455,844830,2,2.5,1748,366,1975,2
62,198,95060,1,102 Alamo Ave,37.001273,-122.127891,1742151,3,2.5,3576,447,1974,3
63,214,95060,1,112 Alamo Ave,36.965373,-122.0443464,1297099,2,2.5,1997,395,1968,5
64,215,95060,1,116 Alamo Ave,36.9657683,-122.0440356,1055397,3,2,1487,158,1954,0
65,216,95060,1,120 Alamo Ave,36.965546,-122.044524,972246,3,2,1373,458,1938,0
66,219,95060,1,123 Alamo Ave,36.9667819,-122.0455944,1302760,2,1.5,1697,168,1939,5
67,239,95060,1,124 Alamo Ave,36.9609854,-122.028325,1278316,2,2,1456,405,1947,5
68,255,95060,1,127 Alamo Ave,37.0114759,-122.0224327,1607008,4,3,3209,218,1941,3
69,257,95060,1,131 Alamo Ave,37.0114928,-122.0221885,789231,3,2,1172,340,1942,2
70,258,95060,1,133 Alamo Ave,37.0111313,-122.0220108,874016,3,2,1496,104,1951,2
71,261,95060,1,136 Alamo Ave,36.9985175,-122.0243867,1401162,2,2.5,2500,333,1940,5
72,263,95060,1,137 Alamo Ave,36.9692416,-122.0171035,912253,3,2,1572,116,1947,2
73,269,95060,1,139 Alamo Ave,36.9700149,-122.017481,666710,2,2,920,240,1920,4
74,272,95060,1,143 Alamo Ave,36.9703145,-122.0176142,894810,2,2,1330,269,1900,2
75,273,95060,1,200 Alamo Ave,36.9701944,-122.0180139,941378,3,2.5,1630,139,1978,2
76,276,95060,1,215 Alamo Ave,36.966505,-122.030401,1363000,4,3,2577,149,1979,5
77,282,95060,1,217 Alamo Ave,36.9671791,-122.0315443,826322,3,2.5,1666,348,2007,2
78,283,95060,1,219 Alamo Ave,36.9679572,-122.031736,836629,2,2,1224,167,1993,2
79,285,95060,1,220 Alamo Ave,36.9812313,-122.0227214,949712,4,2,1800,347,1973,2
80,286,95060,1,223 Alamo Ave,36.9812156,-122.022899,949507,4,2,1800,173,1973,2
81,287,95060,1,225 Alamo Ave,36.98121,-122.023566,530208,2,1.5,896,523,1981,4
82,290,95060,1,239 Alamo Ave,37.04248,-122.157367,2178822,5,5.5,5900,104,2007,1
83,291,95060,1,241 Alamo Ave,37.041953,-122.158981,1291009,4,3.5,2702,174,1991,5
84,294,95060,1,306 Alamo Ave,37.038015,-122.146281,1324845,3,2,2989,217,1979,5
85,296,95060,1,308 Alamo Ave,37.042186,-122.153952,2079057,2,2,1509,924,1887,1
86,298,95060,1,310 Alamo Ave,37.048684,-122.157273,1160575,3,2,2292,158,1956,0
87,300,95060,1,315 Alamo Ave,37.0467363,-122.1595482,1247069,3,2.5,2381,189,1958,5
88,301,95060,1,317 Alamo Ave,37.0480484,-122.1618102,1276425,3,2.5,2630,532,1992,5
89,303,95060,1,320 Alamo Ave,37.0527194,-122.1604353,1271807,3,3,2929,200,1978,5
90,304,95060,1,330 Alamo Ave,37.057075,-122.161332,987718,3,2,2087,551,1987,0
