,City,Lat,Lon,Street,Trulia Est,Zip Code,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Heating Type,Parking Spots
207,0,36.96788,-121.89057,335 Arthur Ave,1050870,95003,3,2.0,1790,313,1968,0,1
212,0,36.96826,-121.89038000000001,341 Arthur Ave,914841,95003,3,2.0,1451,482,1961,0,1
213,0,36.968109999999996,-121.88977,342 Arthur Ave,969217,95003,3,2.0,1695,342,1978,0,2
214,0,36.96839,-121.89031999999999,343 Arthur Ave,922893,95003,3,2.0,1508,332,1970,0,2
220,0,36.9877,-121.93073999999999,3006 Atherton Dr,835150,95003,3,2.5,1634,404,2004,0,2
226,0,36.988440000000004,-121.93056999999999,3030 Atherton Dr,928492,95003,3,2.5,1836,389,2004,0,2
229,0,36.98982,-121.93045,104 Atherton Loop,681604,95003,3,2.5,1558,417,2009,0,2
230,0,36.99013,-121.93037,105 Atherton Loop,775559,95003,3,2.5,1394,179,2009,0,2
231,0,36.98982,-121.93037,106 Atherton Loop,675806,95003,2,2.5,1104,199,2009,0,1
232,0,36.9901,-121.93023000000001,107 Atherton Loop,872981,95003,3,2.5,1525,419,2009,0,2
236,0,36.99005,-121.93001000000001,113 Atherton Loop,782710,95003,3,2.5,1377,181,2009,0,2
247,0,36.9894,-121.93008,131 Atherton Loop,668719,95003,2,2.5,1354,290,2012,0,1
251,0,36.98922,-121.93008999999999,135 Atherton Loop,886325,95003,3,2.5,1991,272,2012,0,2
270,0,36.97181,-121.89153,201 Augusta Ln,983280,95003,3,2.0,1698,247,1998,0,2
272,0,36.9717,-121.89171,205 Augusta Ln,1183100,95003,4,2.5,2266,254,1998,0,2
276,0,36.97149,-121.89206000000001,215 Augusta Ln,1182574,95003,4,2.5,2230,215,1998,0,2
279,0,36.97139,-121.89277,225 Augusta Ln,1183406,95003,4,2.5,2292,183,1998,0,2
280,0,36.97141,-121.89298000000001,229 Augusta Ln,1245187,95003,4,3.0,2514,302,1999,0,2
281,0,36.97188,-121.89296999999999,237 Augusta Ln,1183168,95003,4,2.5,2246,309,1999,0,2
285,0,36.972229999999996,-121.89298000000001,245 Augusta Ln,1183252,95003,4,2.5,2251,181,1999,0,2
287,0,36.9724,-121.89298000000001,249 Augusta Ln,1225872,95003,4,2.5,2544,181,1999,0,2
289,0,36.972559999999994,-121.89298000000001,253 Augusta Ln,1183104,95003,4,2.5,2251,207,1999,0,2
290,0,36.97273,-121.89296000000002,257 Augusta Ln,974386,95003,3,2.0,1698,212,1999,0,2
295,0,36.9853,-121.88273000000001,225 Baker Rd,983305,95003,3,2.0,1784,457,1988,0,4
305,0,36.965740000000004,-121.89385,208 Baldwin Dr,1084432,95003,3,2.0,1354,220,1975,0,2
307,0,36.96617,-121.89407,213 Baldwin Dr,1075930,95003,3,2.0,1589,354,1973,0,2
308,0,36.96602,-121.89347,214 Baldwin Dr,1159457,95003,3,2.0,1831,423,1973,0,2
311,0,36.966229999999996,-121.89321000000001,218 Baldwin Dr,1004648,95003,3,2.0,1392,381,1964,0,2
317,0,36.96246,-121.87848000000001,195 Baltusrol Dr,1203867,95003,4,3.0,1939,157,1960,0,2
318,0,36.96215,-121.87848999999999,205 Baltusrol Dr,1205438,95003,3,3.0,2027,363,1961,0,2
319,0,36.961859999999994,-121.87863999999999,225 Baltusrol Dr,1365392,95003,4,3.0,3336,360,1969,0,2
322,0,36.960879999999996,-121.87988,310 Baltusrol Dr,1152947,95003,4,2.0,1800,258,1962,0,2
326,0,36.96074,-121.88965,693 Bayview Dr,1530736,95003,3,2.0,1976,162,1974,0,2
333,0,36.97126,-121.89532,295 Beach Pines Dr,1002805,95003,3,2.0,1629,488,1970,0,2
337,0,36.979,-121.91481999999999,281 Bonefish Ct,681479,95003,3,1.5,1234,174,1983,0,1
341,0,37.003190000000004,-121.85144,390 Brooktree Ranch Rd,851916,95003,3,2.5,1820,191,1974,3,1
344,0,36.97191,-121.89497,125 Bryce Ct,1211037,95003,3,2.5,2328,430,1992,0,2
347,0,36.99296,-121.85313000000001,150 Bunker Hl,1439081,95003,4,3.5,3118,369,2003,0,4
352,0,36.96861,-121.90035,210 Burnham Ct,1573443,95003,3,3.0,2633,167,1966,0,2
358,0,36.984120000000004,-121.89934,633 Burns Ave,860298,95003,3,2.5,1999,169,1980,3,2
360,0,36.985659999999996,-121.89818000000001,675 Burns Ave,986254,95003,4,2.5,2125,391,2000,0,2
364,0,36.948170000000005,-121.86635,1800 Cabo Ct,1306570,95003,4,3.5,2997,375,1990,0,2
365,0,36.94807,-121.86665,1801 Cabo Ct,1273182,95003,3,2.5,2535,260,1988,0,2
374,0,36.989340000000006,-121.93108000000001,6247 Cabot Ct,671238,95003,2,2.5,1754,316,1982,0,2
380,0,36.98639,-121.91793,130 Calabria St,1350571,95003,3,3.5,2872,192,2004,0,2
381,0,36.98636,-121.91847,133 Calabria St,968869,95003,3,2.5,2060,271,2000,0,2
394,0,36.99532,-121.9299,375 Calle Serra Rd,1887446,95003,4,3.5,3664,161,1985,0,2
395,0,36.994679999999995,-121.93041000000001,445 Calle Serra Rd,1887386,95003,4,2.5,3904,128,1983,0,2
396,0,36.99388,-121.93096000000001,511 Calle Serra Rd,2305210,95003,4,4.0,7256,345,2004,3,4
397,0,36.949870000000004,-121.87475,1500 Calypso Dr,1180171,95003,3,3.5,2343,146,1979,0,3
399,0,36.95029,-121.87495,1513 Calypso Dr,1297648,95003,3,2.5,3240,242,1979,0,2
403,0,36.94999,-121.87365,1568 Calypso Dr,1143015,95003,3,2.0,2171,150,1978,0,2
404,0,36.95057,-121.87388,1569 Calypso Dr,1207132,95003,4,2.0,2375,154,1979,0,2
410,0,36.95006,-121.87297,1637 Calypso Dr,1205589,95003,3,2.5,2394,164,1978,0,2
412,0,36.949870000000004,-121.87268999999999,1659 Calypso Dr,1421514,95003,3,2.5,3034,147,1982,0,2
421,0,36.949909999999996,-121.87114,1773 Calypso Dr,1158510,95003,3,2.0,2160,197,1981,0,2
423,0,36.94948,-121.87093999999999,1782 Calypso Dr,1191717,95003,4,2.5,2673,179,1982,0,2
425,0,36.94947,-121.8705,1826 Calypso Dr,1182764,95003,3,2.5,2192,138,1978,0,2
432,0,36.95004,-121.86678,103 Camino Pacifico,943834,95003,3,1.5,1124,235,1989,0,1
433,0,36.95001,-121.86683000000001,105 Camino Pacifico,946305,95003,3,1.5,1124,343,1988,0,1
435,0,36.94995,-121.86697,109 Camino Pacifico,982153,95003,3,1.5,1118,240,1988,0,1
436,0,36.94983,-121.8672,113 Camino Pacifico,1074342,95003,3,2.5,1584,363,1988,0,1
437,0,36.94977,-121.86731999999999,115 Camino Pacifico,1138399,95003,2,3.0,1598,375,1988,0,1
439,0,36.9496,-121.8677,121 Camino Pacifico,1133509,95003,3,2.5,1810,290,1988,0,2
441,0,36.94955,-121.86826,124 Camino Pacifico,1113285,95003,2,3.0,1598,163,1988,0,1
443,0,36.949329999999996,-121.8681,128 Camino Pacifico,1145598,95003,3,2.5,1810,185,1988,0,2
447,0,36.949529999999996,-121.8672,145 Camino Pacifico,1184682,95003,3,2.5,1810,232,1988,0,2
451,0,36.94965,-121.86693999999999,149 Camino Pacifico,1192380,95003,3,2.5,1810,386,1988,0,2
454,0,36.94955,-121.86653999999999,154 Camino Pacifico,1138153,95003,2,3.0,1598,371,1988,0,1
455,0,36.949659999999994,-121.86646,156 Camino Pacifico,1158628,95003,3,2.5,1810,323,1988,0,2
459,0,37.00053,-121.89856999999999,237 Campus Dr,762438,95003,3,2.0,1728,185,1991,0,2
465,0,36.976490000000005,-121.91358000000001,140 Canterbury Dr #304,1013634,95003,3,2.5,1998,168,2013,0,2
477,0,36.983129999999996,-121.89256,105 Carlino Ln,2166900,95003,5,4.5,4354,198,1998,0,4
478,0,36.97868,-121.87316000000001,11 Carol Way,866022,95003,3,2.0,1618,155,1965,0,2
479,0,36.97805,-121.87341,30 Carol Way,883749,95003,3,2.0,1916,292,1965,0,2
480,0,36.97846,-121.87301000000001,31 Carol Way,901759,95003,3,2.5,2022,296,1988,0,2
481,0,36.97821,-121.87286,51 Carol Way,1029443,95003,3,2.5,2328,249,1978,0,1
482,0,36.9776,-121.8732,91 Carol Way,875139,95003,4,2.0,1852,347,1977,0,2
483,0,36.977579999999996,-121.87404,100 Carol Way,880910,95003,3,2.5,1762,306,1977,0,3
489,0,36.97653,-121.87276000000001,200 Carol Way,788902,95003,3,2.0,1312,585,1971,0,2
492,0,36.9767891,-121.87343510000001,235 Carol Way,870949,95003,3,2.0,1718,413,1964,0,2
494,0,36.977909999999994,-121.87248999999998,255 Carol Way,1210083,95003,4,2.5,2674,299,2000,0,2
496,0,36.97846,-121.87238,265 Carol Way,975419,95003,3,3.0,2149,173,1966,0,2
498,0,36.97339,-121.89761999999999,110 Carrera Cir,860619,95003,3,1.5,1427,123,1999,0,1
